Day,Time,Teacher,Location,Payment Method,Class Type,Status,Web,Payment Ref #,,
28/08/2019,Wednesday,7:15 PM,Andy,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),BYL Hot Power Flow,Signed in,No,446800,
27/08/2019,Tuesday,4:30 PM,Lottie,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),BYL Express,Signed in,No,446800,
22/08/2019,Thursday,7:00 PM,Aleksei,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
21/08/2019,Wednesday,5:30 PM,Naomi,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),BYL Express (60),Signed in,No,446800,
20/08/2019,Tuesday,6:00 PM,Divya,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Bikram Yoga,Signed in,No,446800,
19/08/2019,Monday,5:15 PM,Elizabeth,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
16/08/2019,Friday,7:15 PM,Annalisa,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
15/08/2019,Thursday,7:00 PM,Aleksei,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
14/08/2019,Wednesday,7:15 PM,Andy,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),BYL Hot Power Flow,Signed in,No,446800,
12/08/2019,Monday,5:15 PM,Elizabeth,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
10/08/2019,Saturday,3:30 PM,Justin,BYL London Bridge,Handstanding Workshop £30,Handstands Workshop for All Levels,Signed in,No,645246,
09/08/2019,Friday,7:15 PM,Aishwarya,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
08/08/2019,Thursday,7:00 PM,Aleksei,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Absent,No,446800,
07/08/2019,Wednesday,7:15 PM,Andy,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),BYL Hot Power Flow,Signed in,No,446800,
05/08/2019,Monday,5:15 PM,Elizabeth,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
02/08/2019,Friday,7:15 PM,Annalisa,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
01/08/2019,Thursday,7:00 PM,Martin (Austria),BYL London Bridge,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
31/07/2019,Wednesday,7:15 PM,Andy,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),BYL Hot Power Flow,Signed in,No,446800,
29/07/2019,Monday,5:15 PM,Elizabeth,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
27/07/2019,Saturday,3:30 PM,Leticia,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),Dynamic Vinyasa Flow (60),Signed in,No,446800,
26/07/2019,Friday,7:15 PM,Elizabeth,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
24/07/2019,Wednesday,7:15 PM,Leticia,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),BYL Hot Power Flow,Signed in,No,446800,
22/07/2019,Monday,5:15 PM,Elizabeth,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
20/07/2019,Saturday,3:30 PM,Lizzie,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),Dynamic Vinyasa Flow (60),Signed in,No,446800,
18/07/2019,Thursday,7:00 PM,Aleksei,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Absent,No,446800,
15/07/2019,Monday,5:15 PM,Elizabeth,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
12/07/2019,Friday,7:15 PM,Elizabeth,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
11/07/2019,Thursday,7:00 PM,Aleksei,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
09/07/2019,Tuesday,6:00 PM,Almania,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Bikram Yoga,Signed in,No,446800,
08/07/2019,Monday,5:15 PM,Elizabeth,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
06/07/2019,Saturday,3:30 PM,Lizzie,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),Dynamic Vinyasa Flow (60),Signed in,No,446800,
04/07/2019,Thursday,7:00 PM,Aleksei,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
03/07/2019,Wednesday,7:15 PM,Leticia,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),BYL Hot Power Flow,Signed in,No,446800,
01/07/2019,Monday,5:15 PM,Elizabeth,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
26/06/2019,Wednesday,7:15 PM,Lizzie,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),BYL Hot Power Flow,Signed in,No,446800,
24/06/2019,Monday,5:15 PM,Elizabeth,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
21/06/2019,Friday,5:15 PM,Almania,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Bikram Yoga,Signed in,No,446800,
20/06/2019,Thursday,8:45 PM,Lizzie,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),Warm Yin Yoga,Absent,No,446800,
20/06/2019,Thursday,7:00 PM,Aleksei,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Absent,No,446800,
18/06/2019,Tuesday,6:00 PM,Almania,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Bikram Yoga,Signed in,No,446800,
17/06/2019,Monday,5:15 PM,Aishwarya,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
14/06/2019,Friday,7:15 PM,Annalisa,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
13/06/2019,Thursday,6:00 PM,Lizzie,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Bikram Music Beats,Signed in,No,446800,
12/06/2019,Wednesday,7:15 PM,Sacha,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),BYL Hot Power Flow,Signed in,No,446800,
10/06/2019,Monday,5:15 PM,Elizabeth,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
07/06/2019,Friday,7:15 PM,Annalisa,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
05/06/2019,Wednesday,7:15 PM,Sacha,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),BYL Hot Power Flow,Signed in,No,446800,
03/06/2019,Monday,5:15 PM,Elizabeth,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
02/06/2019,Sunday,4:00 PM,Annalisa,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
01/06/2019,Saturday,3:30 PM,Karolina,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),Dynamic Vinyasa Flow (60),Signed in,No,446800,
31/05/2019,Friday,7:15 PM,Annalisa,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
30/05/2019,Thursday,4:30 PM,Andy,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Dynamic Vinyasa Flow (60),Signed in,No,446800,
24/05/2019,Friday,7:15 PM,Annalisa,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
23/05/2019,Thursday,4:30 PM,Andy,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Dynamic Vinyasa Flow (60),Signed in,No,446800,
22/05/2019,Wednesday,7:15 PM,Leticia,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),BYL Hot Power Flow,Signed in,No,446800,
20/05/2019,Monday,5:15 PM,Karolina,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
19/05/2019,Sunday,4:00 PM,Annalisa,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
13/05/2019,Monday,5:15 PM,Karolina,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
06/05/2019,Monday,5:15 PM,Karolina,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
04/05/2019,Saturday,8:15 AM,Sharon,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Inferno Pilates,Signed in,No,446800,
02/05/2019,Thursday,4:30 PM,Lizzie,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Dynamic Vinyasa Flow (60),Signed in,No,446800,
01/05/2019,Wednesday,4:15 PM,Andy,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),BYL Hot Power Flow,Signed in,No,446800,
29/04/2019,Monday,5:15 PM,Karolina,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
26/04/2019,Friday,7:15 PM,Elizabeth,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
25/04/2019,Thursday,4:30 PM,Aleksei,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Dynamic Vinyasa Flow (60),Signed in,No,446800,
01/04/2019,Monday,5:15 PM,Elizabeth,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
30/03/2019,Saturday,3:30 PM,Karolina,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),Dynamic Vinyasa Flow (60),Signed in,No,446800,
28/03/2019,Thursday,4:30 PM,Lizzie,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Dynamic Vinyasa Flow (60),Signed in,No,446800,
27/03/2019,Wednesday,4:15 PM,Andy,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),BYL Hot Power Flow,Signed in,No,446800,
26/03/2019,Tuesday,4:30 PM,Kaya,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),BYL Express (60),Signed in,No,446800,
25/03/2019,Monday,5:15 PM,Elizabeth,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
24/03/2019,Sunday,4:00 PM,Annalisa,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
22/03/2019,Friday,10:00 AM,Kirsty,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Bikram Yoga,Signed in,No,446800,
21/03/2019,Thursday,4:30 PM,Lizzie,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Dynamic Vinyasa Flow (60),Signed in,No,446800,
19/03/2019,Tuesday,4:30 PM,Hassan,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),BYL Express (60),Signed in,No,446800,
18/03/2019,Monday,5:15 PM,Elizabeth,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
14/03/2019,Thursday,4:30 PM,Andy,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Dynamic Vinyasa Flow (60),Signed in,No,446800,
12/03/2019,Tuesday,4:30 PM,Hassan,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),BYL Express (60),Signed in,No,446800,
11/03/2019,Monday,5:15 PM,Elizabeth,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
05/03/2019,Tuesday,4:30 PM,Alexandra,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),BYL Express,Signed in,No,446800,
04/03/2019,Monday,5:15 PM,Elizabeth,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
02/03/2019,Saturday,8:15 AM,Justine,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Inferno Pilates,Signed in,No,446800,
28/02/2019,Thursday,4:30 PM,Lizzie,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Dynamic Vinyasa Flow (60),Signed in,No,446800,
25/02/2019,Monday,5:15 PM,Elizabeth,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
21/02/2019,Thursday,4:30 PM,Lizzie,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Dynamic Vinyasa Flow (60),Signed in,No,446800,
20/02/2019,Wednesday,4:15 PM,Andy,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),BYL Hot Power Flow,Signed in,No,446800,
19/02/2019,Tuesday,4:30 PM,Kirsty,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),BYL Express,Signed in,No,446800,
18/02/2019,Monday,5:15 PM,Elizabeth,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
16/02/2019,Saturday,8:15 AM,Justine,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Inferno Pilates,Signed in,No,446800,
14/02/2019,Thursday,4:30 PM,Lizzie,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Dynamic Vinyasa Flow (60),Signed in,No,446800,
13/02/2019,Wednesday,4:15 PM,Leticia,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),BYL Hot Power Flow,Signed in,No,446800,
12/02/2019,Tuesday,4:30 PM,Kirsty,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),BYL Express,Signed in,No,446800,
11/02/2019,Monday,5:15 PM,Elizabeth,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
09/02/2019,Saturday,8:15 AM,Justine,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Inferno Pilates,Signed in,No,446800,
07/02/2019,Thursday,4:30 PM,Sara,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Dynamic Vinyasa Flow (60),Signed in,No,446800,
04/02/2019,Monday,5:15 PM,Elizabeth,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
31/01/2019,Thursday,4:30 PM,Aleksei,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Dynamic Vinyasa Flow (60),Signed in,No,446800,
30/01/2019,Wednesday,4:15 PM,Andy,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),BYL Hot Power Flow,Signed in,No,446800,
29/01/2019,Tuesday,4:30 PM,Kirsty,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),BYL Express,Signed in,No,446800,
28/01/2019,Monday,5:15 PM,Beth,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
24/01/2019,Thursday,4:30 PM,Aleksei,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Dynamic Vinyasa Flow (60),Signed in,No,446800,
23/01/2019,Wednesday,4:15 PM,Andy,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),BYL Hot Power Flow,Signed in,No,446800,
21/01/2019,Monday,5:15 PM,Beth,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
17/01/2019,Thursday,4:30 PM,Andy,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Dynamic Vinyasa Flow (60),Signed in,No,446800,
16/01/2019,Wednesday,4:15 PM,Andy,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),BYL Hot Power Flow,Signed in,No,446800,
15/01/2019,Tuesday,4:30 PM,Hassan,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),BYL Express (60),Signed in,No,446800,
09/01/2019,Wednesday,4:15 PM,Andy,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),BYL Hot Power Flow,Signed in,No,446800,
08/01/2019,Tuesday,4:30 PM,Ilkka,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),BYL Express,Signed in,No,446800,
07/01/2019,Monday,5:15 PM,Beth,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
05/01/2019,Saturday,8:15 AM,Sharon,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Inferno Pilates,Signed in,No,446800,
04/01/2019,Friday,12:00 PM,Andy,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),BYL Hot Power Flow,Signed in,No,446800,
03/01/2019,Thursday,4:30 PM,Andy,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Dynamic Vinyasa Flow (60),Signed in,No,446800,
19/12/2018,Wednesday,5:30 PM,Ilkka,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),BYL Express (60),Signed in,No,446800,
17/12/2018,Monday,5:15 PM,Elizabeth,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
13/12/2018,Thursday,4:30 PM,Eva,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Dynamic Vinyasa Flow (60),Signed in,No,446800,
12/12/2018,Wednesday,4:15 PM,Andy,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),BYL Hot Power Flow,Signed in,No,446800,
11/12/2018,Tuesday,4:30 PM,Beth,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),BYL Express,Signed in,No,446800,
10/12/2018,Monday,5:15 PM,Beth,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
08/12/2018,Saturday,8:15 AM,Justine,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Inferno Pilates,Signed in,No,446800,
06/12/2018,Thursday,4:30 PM,Lizzie,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Dynamic Vinyasa Flow (60),Signed in,No,446800,
05/12/2018,Wednesday,4:15 PM,Andy,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),BYL Hot Power Flow,Signed in,No,446800,
04/12/2018,Tuesday,4:30 PM,Beth,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),BYL Express,Signed in,No,446800,
03/12/2018,Monday,5:15 PM,Beth,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
02/12/2018,Sunday,4:00 PM,Annalisa,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
29/11/2018,Thursday,4:30 PM,Lizzie,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Dynamic Vinyasa Flow (60),Signed in,No,446800,
28/11/2018,Wednesday,4:15 PM,Andy,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),BYL Hot Power Flow,Signed in,No,446800,
27/11/2018,Tuesday,4:30 PM,Beth,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),BYL Express,Signed in,No,446800,
26/11/2018,Monday,5:15 PM,Beth,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
24/11/2018,Saturday,8:15 AM,Justine,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Inferno Pilates,Signed in,No,446800,
22/11/2018,Thursday,4:30 PM,Lizzie,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Dynamic Vinyasa Flow (60),Signed in,No,446800,
21/11/2018,Wednesday,4:15 PM,Andy,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),BYL Hot Power Flow,Signed in,No,446800,
19/11/2018,Monday,5:15 PM,Beth,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
17/11/2018,Saturday,8:15 AM,Justine,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Inferno Pilates,Signed in,No,446800,
15/11/2018,Thursday,4:30 PM,Eva,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Dynamic Vinyasa Flow (60),Signed in,No,446800,
14/11/2018,Wednesday,4:15 PM,Andy,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),BYL Hot Power Flow,Signed in,No,446800,
13/11/2018,Tuesday,4:30 PM,Beth,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),BYL Express,Signed in,No,446800,
12/11/2018,Monday,5:15 PM,Beth,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
10/11/2018,Saturday,8:15 AM,Justine,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Inferno Pilates,Signed in,No,446800,
04/11/2018,Sunday,4:00 PM,Annalisa,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
01/11/2018,Thursday,4:30 PM,Lizzie,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Dynamic Vinyasa Flow (60),Signed in,No,446800,
31/10/2018,Wednesday,4:15 PM,Andy,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),BYL Hot Power Flow,Signed in,No,446800,
29/10/2018,Monday,5:15 PM,Beth,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
27/10/2018,Saturday,8:15 AM,Fiona,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Inferno Pilates,Signed in,No,446800,
25/10/2018,Thursday,4:30 PM,Lizzie,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Dynamic Vinyasa Flow (60),Signed in,No,446800,
24/10/2018,Wednesday,4:15 PM,Andy,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),BYL Hot Power Flow,Signed in,No,446800,
23/10/2018,Tuesday,4:30 PM,Kirsty,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),BYL Express,Signed in,No,446800,
22/10/2018,Monday,5:15 PM,Elizabeth,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
20/10/2018,Saturday,8:15 AM,Justine,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Inferno Pilates,Signed in,No,446800,
18/10/2018,Thursday,4:30 PM,Lizzie,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Dynamic Vinyasa Flow (60),Signed in,No,446800,
17/10/2018,Wednesday,4:15 PM,Andy,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),BYL Hot Power Flow,Signed in,No,446800,
15/10/2018,Monday,5:15 PM,Beth,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
11/10/2018,Thursday,4:30 PM,Lizzie,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Dynamic Vinyasa Flow (60),Signed in,No,446800,
10/10/2018,Wednesday,4:15 PM,Andy,BYL London Bridge,Annual Unlimited £999 (Paid in Advance),BYL Hot Power Flow,Signed in,No,446800,
09/10/2018,Tuesday,4:30 PM,Beth,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),BYL Express,Signed in,No,446800,
08/10/2018,Monday,5:15 PM,Beth,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Hot Jivamukti,Signed in,No,446800,
06/10/2018,Saturday,8:15 AM,Justine,BYL Canary Wharf,Annual Unlimited £999 (Paid in Advance),Inferno Pilates,Signed in,No,446800,
26/09/2018,Wednesday,4:15 PM,Andy,BYL London Bridge,A7 HYS Conversion 365/Annual Upfront PEAK,BYL Hot Power Flow,Signed in,No,371928,
22/09/2018,Saturday,8:15 AM,Justine,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Inferno Pilates,Signed in,No,371928,
19/09/2018,Wednesday,4:15 PM,Andy,BYL London Bridge,A7 HYS Conversion 365/Annual Upfront PEAK,BYL Hot Power Flow,Signed in,No,371928,
18/09/2018,Tuesday,4:30 PM,Beth,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,BYL Express,Signed in,No,371928,
15/09/2018,Saturday,8:15 AM,Catherine,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Inferno Pilates,Signed in,No,371928,
13/09/2018,Thursday,4:30 PM,Andy,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Dynamic Vinyasa Flow (60),Signed in,No,371928,
12/09/2018,Wednesday,4:15 PM,Amy,BYL London Bridge,A7 HYS Conversion 365/Annual Upfront PEAK,BYL Hot Power Flow,Signed in,No,371928,
11/09/2018,Tuesday,4:30 PM,Beth,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,BYL Express,Signed in,No,371928,
10/09/2018,Monday,5:15 PM,Beth,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Hot Jivamukti,Signed in,No,371928,
08/09/2018,Saturday,3:30 PM,Eva,BYL London Bridge,A7 HYS Conversion 365/Annual Upfront PEAK,Dynamic Vinyasa Flow (60),Signed in,No,371928,
08/09/2018,Saturday,8:15 AM,Justine,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Inferno Pilates,Signed in,No,371928,
30/08/2018,Thursday,4:30 PM,Lizzie,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Dynamic Vinyasa Flow (60),Signed in,No,371928,
25/08/2018,Saturday,8:15 AM,Justine,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Inferno Pilates,Signed in,No,371928,
23/08/2018,Thursday,4:30 PM,Lizzie,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Dynamic Vinyasa Flow (60),Signed in,No,371928,
22/08/2018,Wednesday,4:15 PM,Andy,BYL London Bridge,A7 HYS Conversion 365/Annual Upfront PEAK,BYL Hot Power Flow,Signed in,No,371928,
21/08/2018,Tuesday,4:30 PM,Beth,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,BYL Express,Signed in,No,371928,
20/08/2018,Monday,5:15 PM,Beth,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Hot Jivamukti,Signed in,No,371928,
18/08/2018,Saturday,8:15 AM,Justine,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Inferno Pilates,Signed in,No,371928,
16/08/2018,Thursday,6:00 PM,Lizzie,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Bikram Music Beats,Signed in,No,371928,
15/08/2018,Wednesday,5:30 PM,Naomi,BYL London Bridge,A7 HYS Conversion 365/Annual Upfront PEAK,BYL Express (60),Signed in,No,371928,
14/08/2018,Tuesday,4:30 PM,Beth,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,BYL Express,Signed in,No,371928,
13/08/2018,Monday,5:15 PM,Beth,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Hot Jivamukti,Signed in,No,371928,
11/08/2018,Saturday,8:15 AM,Justine,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Inferno Pilates,Signed in,No,371928,
09/08/2018,Thursday,6:00 PM,Lizzie,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Bikram Music Beats,Signed in,No,371928,
