Date,Day,Time,Teacher,Location,Payment Method,Class Type,Status,Web,Payment Ref #
11/09/2018,Tuesday,4:30ÊPM,Beth,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,BYL Express (60),Signed in,No,371928
10/09/2018,Monday,5:15ÊPM,Beth,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Hot Jivamukti,Signed in,No,371928
08/09/2018,Saturday,3:30ÊPM,Eva,BYL London Bridge,A7 HYS Conversion 365/Annual Upfront PEAK,Hot Vinyasa Flow (60),Signed in,No,371928
08/09/2018,Saturday,8:15ÊAM,Justine,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Inferno Pilates (60),Signed in,No,371928
30/08/2018,Thursday,4:30ÊPM,Lizzie,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Hot Vinyasa Flow (60),Signed in,No,371928
25/08/2018,Saturday,8:15ÊAM,Justine,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Inferno Pilates (60),Signed in,No,371928
23/08/2018,Thursday,4:30ÊPM,Lizzie,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Hot Vinyasa Flow (60),Signed in,No,371928
22/08/2018,Wednesday,4:15ÊPM,Andy,BYL London Bridge,A7 HYS Conversion 365/Annual Upfront PEAK,BYL Hot Power Flow,Signed in,No,371928
21/08/2018,Tuesday,4:30ÊPM,Beth,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,BYL Express (60),Signed in,No,371928
20/08/2018,Monday,5:15ÊPM,Beth,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Hot Jivamukti,Signed in,No,371928
18/08/2018,Saturday,8:15ÊAM,Justine,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Inferno Pilates (60),Signed in,No,371928
16/08/2018,Thursday,6:00ÊPM,Lizzie,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Bikram Music Beats,Signed in,No,371928
15/08/2018,Wednesday,5:30ÊPM,Naomi,BYL London Bridge,A7 HYS Conversion 365/Annual Upfront PEAK,BYL Express (60),Signed in,No,371928
14/08/2018,Tuesday,4:30ÊPM,Beth,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,BYL Express (60),Signed in,No,371928
13/08/2018,Monday,5:15ÊPM,Beth,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Hot Jivamukti,Signed in,No,371928
11/08/2018,Saturday,8:15ÊAM,Justine,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Inferno Pilates (60),Signed in,No,371928
09/08/2018,Thursday,6:00ÊPM,Lizzie,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Bikram Music Beats,Signed in,No,371928
08/08/2018,Wednesday,4:15ÊPM,Andy,BYL London Bridge,A7 HYS Conversion 365/Annual Upfront PEAK,BYL Hot Power Flow,Signed in,No,371928
07/08/2018,Tuesday,4:30ÊPM,Beth,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,BYL Express (60),Signed in,No,371928
06/08/2018,Monday,5:15ÊPM,Beth,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Hot Jivamukti,Signed in,No,371928
02/08/2018,Thursday,6:00ÊPM,Lizzie,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Bikram Music Beats,Signed in,No,371928
01/08/2018,Wednesday,7:15ÊPM,Andy,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,BYL Hot Power Flow,Signed in,No,371928
31/07/2018,Tuesday,4:30ÊPM,Beth,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,BYL Express (60),Signed in,No,371928
29/07/2018,Sunday,4:00ÊPM,Karolina,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Hot Jivamukti,Signed in,No,371928
28/07/2018,Saturday,8:15ÊAM,Sharon,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Inferno Pilates (60),Signed in,No,371928
24/07/2018,Tuesday,4:30ÊPM,Kirsty,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,BYL Express (60),Signed in,No,371928
23/07/2018,Monday,5:15ÊPM,Elizabeth,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Hot Jivamukti,Signed in,No,371928
21/07/2018,Saturday,8:15ÊAM,Sharon,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Inferno Pilates (60),Signed in,No,371928
18/07/2018,Wednesday,4:15ÊPM,Lizzie,BYL London Bridge,A7 HYS Conversion 365/Annual Upfront PEAK,BYL Hot Power Flow,Signed in,No,371928
17/07/2018,Tuesday,4:30ÊPM,Beth,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,BYL Express (60),Signed in,No,371928
16/07/2018,Monday,5:15ÊPM,Beth,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Hot Jivamukti,Signed in,No,371928
14/07/2018,Saturday,8:15ÊAM,Sharon,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Inferno Pilates (60),Signed in,No,371928
12/07/2018,Thursday,6:00ÊPM,Lizzie,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Bikram Music Beats,Signed in,No,371928
11/07/2018,Wednesday,4:15ÊPM,Lizzie,BYL London Bridge,A7 HYS Conversion 365/Annual Upfront PEAK,BYL Hot Power Flow,Signed in,No,371928
10/07/2018,Tuesday,4:30ÊPM,Hassan,BYL London Bridge,A7 HYS Conversion 365/Annual Upfront PEAK,BYL Express (60),Signed in,No,371928
09/07/2018,Monday,5:15ÊPM,Beth,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Hot Jivamukti,Signed in,No,371928
07/07/2018,Saturday,8:15ÊAM,Sharon,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Inferno Pilates (60),Signed in,No,371928
05/07/2018,Thursday,6:00ÊPM,Lizzie,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Bikram Music Beats,Signed in,No,371928
04/07/2018,Wednesday,5:15ÊPM,Samantha,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Bikram Yoga,Signed in,No,371928
02/07/2018,Monday,5:15ÊPM,Beth,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Hot Jivamukti,Signed in,No,371928
30/06/2018,Saturday,8:15ÊAM,Justine,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Inferno Pilates (60),Signed in,No,371928
28/06/2018,Thursday,4:30ÊPM,Beth,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Hot Vinyasa Flow (60),Signed in,No,371928
27/06/2018,Wednesday,5:15ÊPM,Samantha,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Bikram Yoga,Signed in,No,371928
26/06/2018,Tuesday,4:30ÊPM,Beth,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,BYL Express (60),Signed in,No,371928
